Gene	Frequency
PAMR1	13
NUP205	13
LRP6	13
JARID2	13
PAK3	13
RPS6KA6	13
PLCXD3	13
NCKAP5L	13
ARMC4	13
ENAM	13
CALN1	13
FIG4	13
FAM65C	13
HSD3B2	13
ZNF267	13
BAI2	13
U2AF1	13
LTBP2	13
MC3R	13
CLTCL1	13
MIA3	13
SV2B	13
PCDHA4	13
PSG1	13
PABPC3	12
SPPL2A	12
TSHZ1	12
FAM131B	12
OR10Q1	12
KRT38	12
PCDHGB7	12
SERPINE1	12
MKRN3	12
C10orf90	12
RNF165	12
MAGEA4	12
PPL	12
WNK2	12
MTHFD1L	12
AHSG	12
CHAF1A	12
GAL3ST4	12
ASXL1	12
PRKG2	12
PRIM2	12
BCO2	12
GPR83	12
KRT74	12
HIP1	12
OR5B12	12
CD22	12
SHROOM3	12
WDR90	12
OR52A5	12
TRAF3IP3	12
SLC24A5	12
WDR52	12
UNC80	12
ZNF454	12
WASF3	12
EPN2	12
OR5H15	12
SIM1	12
STXBP5	12
KCND3	12
PTPRM	12
CAMSAP1	12
SLC5A1	12
ARHGAP5	12
SLC5A8	12
PLEKHH2	12
DISC1	12
KHDRBS2	12
MTNR1B	12
PGBD2	12
AQR	12
ARHGAP29	12
RANBP6	12
GCLC	12
ENPP3	12
EHMT1	12
ZZZ3	12
PDE4B	12
HDAC6	12
KIAA0922	12
KCNA6	12
SECISBP2L	12
HAO1	12
SEZ6	12
CYP4F3	12
MC2R	12
RPTOR	12
TCERG1L	12
OPCML	12
SEMA6B	12
GPRIN3	12
PTPN5	12
SLC18A1	12
FNBP4	12
STK11IP	12
CLASP1	12
MCM6	12
OR8D4	12
OR6A2	12
PDE3B	12
OR8D1	12
TMTC2	12
ZBTB20	12
VSTM2A	12
JAKMIP1	12
COL9A3	12
COL17A1	12
OR4D9	12
ATXN2L	12
SHOX2	12
KDM6A	12
OR10V1	12
HOXB1	12
BMP7	12
CYBB	12
OR5M8	12
CREB5	12
PPP2R1A	12
KRT37	12
KLHL5	12
ESPNL	12
SLC12A7	12
MRE11A	12
SPATA17	12
SLAMF9	12
SLC22A25	12
IL31RA	12
PADI3	12
CERKL	12
APBB1IP	12
FIGN	12
ANO1	12
TAB3	12
GIMAP6	12
LPPR4	12
IGHMBP2	12
GPR148	12
FMO2	12
MAGEA6	12
ABCG2	12
TRHR	12
FLRT3	12
MAGED2	12
PRB2	12
P2RX5	12
OR51M1	12
MBL2	12
BBS7	11
EOMES	11
CUL3	11
CRNKL1	11
ANGPT1	11
FBXO18	11
ZFP36L1	11
FYCO1	11
TOP2A	11
SEC24D	11
PCDHAC1	11
MARCH6	11
ANO6	11
ADAM11	11
DDHD1	11
ZNF862	11
PIWIL2	11
CEP135	11
MGAT5	11
SLC3A1	11
UBR2	11
FNDC7	11
PBXIP1	11
HSPA1L	11
OTUD7B	11
FBLN1	11
PRDM15	11
OR11H12	11
KCNF1	11
WNT7A	11
NUP133	11
JPH3	11
FOXI1	11
ACSM1	11
MATN2	11
LONRF3	11
OSBPL3	11
CD93	11
SLC7A14	11
CD97	11
ZNF285	11
STAM	11
PALB2	11
KRT5	11
SLC12A6	11
HTR1F	11
DENND5B	11
MAGED1	11
TP53BP1	11
EPHB3	11
CD6	11
DMRT3	11
MYO1B	11
SCAND3	11
DOCK5	11
NDST3	11
CHD2	11
OR10S1	11
CD86	11
TNIK	11
RHCG	11
ATAD2	11
ERCC6	11
KIAA1958	11
MYLK3	11
ATP2C1	11
TP63	11
NBPF14	11
FBXW7	11
NTRK1	11
SLCO2B1	11
CLNK	11
CHRNB2	11
WIPF1	11
KIAA1024	11
PTGIS	11
FLG	11
CD1B	11
CALB2	11
EVI5	11
LMTK2	11
ZNF347	11
ACTRT2	11
WFIKKN2	11
OR1N2	11
PHF8	11
PTPRG	11
ITGB3	11
KCNJ16	11
ACVR1B	11
CYP4B1	11
MTTP	11
OR4K14	11
HSF5	11
NBEAL2	11
FAM65B	11
CASP5	11
CSNK1A1L	11
CD226	11
KIN	11
PDYN	11
PTPRS	11
PPAPDC1A	11
SATL1	11
RFTN2	11
ZNF235	11
CRMP1	11
ZNF675	11
HBG2	11
MAP4K3	11
EIF5B	11
PI15	11
RTP2	11
GRM3	11
LRPPRC	11
ERC1	11
CYP2C19	11
FSCN3	11
TEC	11
SYTL5	11
HAVCR2	11
NUDCD1	11
OPN4	11
HEG1	11
WAPAL	11
OR52N4	11
HLX	11
BTNL8	11
OR4M2	11
MYO1G	11
ARSH	11
CDK5RAP2	11
ASAP1	11
TTC14	11
TAAR9	11
HOXA5	11
TDRD7	11
EPX	11
POLR3A	11
PKLR	11
LZTR1	11
KDELC1	11
GLUD2	11
KIAA1009	11
ZNF300	11
ZSCAN18	11
INTS5	11
R3HDM1	11
PARP4	11
GPR64	11
TRPM7	11
ANAPC1	11
ZC3HAV1	11
TPX2	11
TMEM168	11
DHX34	11
PTPRF	11
IL18R1	11
SERPINA12	11
ABCC5	11
ACRC	11
PIK3R5	11
SYNJ1	11
SLC8A2	11
ATP13A4	11
ARHGAP30	11
AIM1	11
SOX5	11
MEOX2	11
CACHD1	11
ARHGAP21	11
PRR16	11
HK1	11
KTN1	11
TRIM3	11
KCNV2	11
SNX19	11
CDC42BPG	11
ANKRD50	11
PKP1	11
TSGA10	11
ZNF484	11
CCDC144A	11
HTR3A	11
MALT1	11
GLRA4	11
NT5C1B	11
SCUBE1	11
TAS2R41	11
GPR142	11
RC3H1	11
ZNF365	11
IQGAP3	11
FGFR4	10
CRX	10
OR1A1	10
TMEM55A	10
HNRNPCL1	10
C8orf74	10
ALG13	10
GAN	10
FBXO38	10
SCG3	10
COL6A1	10
KRT72	10
WDR60	10
TAF5L	10
GARNL3	10
C3orf30	10
CHRNB4	10
MYO1A	10
FBXO24	10
ZNF649	10
PAX2	10
XKR6	10
PAX6	10
FILIP1	10
DMGDH	10
CNGA3	10
GIMAP1	10
DCAF6	10
HHIPL1	10
HADHB	10
MAP7D2	10
CDH15	10
CATSPER1	10
INO80	10
